commentor,comments,news
>Dean Peacock,>But thats impossible the strict laws on guns and knifes should have stopped this!,">Killings and murders in England and Wales are up again, figures show."
>Katherine Johnas Allison,">Lovely idea , can they also help fund some research into what’s causing autism because it’s reaching epidemic levels and no one is looking at why this is happening!",">Stores will dim lights, turn music off and avoid using the tannoy to help autistic customers."
>Clare Jane Chilvers,>It's just diagnosed more I think.  It's not really an epidemic.  Genetic studies are being carried out.,">Stores will dim lights, turn music off and avoid using the tannoy to help autistic customers."
>Stephen Hancock,>Sounds delightful... I'm sure the shoppers without autism would enjoy it too.,">Stores will dim lights, turn music off and avoid using the tannoy to help autistic customers."
>Des Young,">It really annoys me when they say there is a water shortage, the whole country is surrounded by water not to mention the rivers that flow through it. If they invested some of the money in Desalination plants instead of stuffing it in Fat Cats bank accounts we wouldn't have the problem",>Why's there a hosepipe ban in north-west England and not elsewhere in the country?
>Stef Mcknight,>How would they actually know if someone uses a hosepipe?,>Why's there a hosepipe ban in north-west England and not elsewhere in the country?
>Michael Graber,>It's beautiful.  Why some people just want to go out and destroy nature is beyond me.,>Breathtaking! 
>BBC News,">Just in case, here's how to survive a shark attack: ",>They're the first shark attacks in the state for 70 years.
>Jason Peal,>On the one hand I'm afraid of sharks on the other those little kids kick my seat every time I'm on a plane.,>They're the first shark attacks in the state for 70 years.
>Eyo Godwin,>I just don't get this. Iran came to the world cup in Russia as ISI(Islamic State of Iran) and nobody finds anything wrong with that. ,>The controversial bill has provoked a furious response from some Arab groups.
>Magen Hardman,>To be honest some Arab nations don’t welcome Jewish culture with open arms. ,>The controversial bill has provoked a furious response from some Arab groups.
>BBC News,>Here's more on what Novichok agents are and what they do: ,">Police identify several Russian suspects in Salisbury nerve agent attack, reports say."
>Tony Cable,>Uk goverment is doing testing causing media stir etc its a false front so when they use it in an attack else where they can point the finger at russia.,">Police identify several Russian suspects in Salisbury nerve agent attack, reports say."
>Alexander Pike,>For clarity how many of these were crisis actors please BBC given it was a staged drill,">Heroes of the 2017 London Bridge terror attack, including two who died, have been recognised for  ""outstanding bravery""."
>Stuart Tones,>Why has someone laughed at this?,">Heroes of the 2017 London Bridge terror attack, including two who died, have been recognised for  ""outstanding bravery""."
>Mena Cerruti,>I don’t justify this movie: we know what is important in Freddy’s life- his music. The rest is pure gossip.,>Bohemian Rhapsody + We Will Rock You = GOOSEBUMPS. 
>Breon Connolly,">Sasha Baron Cohen was the first choice for the part of Freddie Mercury and certainly looked the part. Creative differences were cited and thus a replacement was found, a fantastic actor but when I first saw the stills and trailer I thought it was a Mick Jagger biopic!",>Bohemian Rhapsody + We Will Rock You = GOOSEBUMPS. 
>Jeff Scott,">Between the mess Trumpy Smallhands has made of America, and the mess the Brexit has become... Putin has to be feeling really good about himself.",>It's going to be quite the day for Dominic Raab.
>Kath Tayler,">Dominic Raab, Brexit secretary: “Britain should secure a total opt-out from the Working Time Directive and scrap the UK Regulations, ensuring that this costly, anti-jobs legislation cannot cause further damage to the economy.”",>It's going to be quite the day for Dominic Raab.
>Henry Przepiorka,>Someone so vehemently opposed to being British should not be honoured with taxpayers' money or salaried government employees' time,">The Anglo-Irish aristocrat who fought against the British, won a seat in Parliament from prison and is now being honoured, 100 years later."
>Colin Kirby,>More ridiculous liberalism. Honouring people who wanted to kill you.,">The Anglo-Irish aristocrat who fought against the British, won a seat in Parliament from prison and is now being honoured, 100 years later."
>Shahbaz Ahmed,">It’s not the whatsapp,, it’s the hate and intolerance in Indian society,, hate toward lower sects, other religions and offcourse against the poor",>This is how trouble starts.
>Ningduanguangliu Panmei,>The irony is people are angry that  ,>This is how trouble starts.
>Thomas,>Rohin what? Never heard of that tribe in history,">Makeup is art, beauty is spirit."
>Paul Barton,>The makeup is used throughout Myanmar by almost all Burmese women. This is not news but the portrait studies are lovely.,">Makeup is art, beauty is spirit."
>Roseann Palumbo Montemarano,">It's absolutely is a MIRACLE! We see miracles every day in the world but, don't point them out. It's important we do, because we know God has never stopped granting miracles.",">Aerial footage of the scene where a woman drove her car off a California cliff, and survived for 10 days."
>Andrew Potts,">The BBC interfering in elections, I thought only Russians did that",>In the spotlight ahead of national elections: The boss of Pakistan's leading English-language and former celeb cricketer-turned politician Imran Khan.
>Suraj Parkash Tschand,>The winner is in jail.,>In the spotlight ahead of national elections: The boss of Pakistan's leading English-language and former celeb cricketer-turned politician Imran Khan.
>Syed Samiullah,">It had to happen as the entire World was praying for your lives irrespective of colour, religion and ethnicity and at the end of the day Almighty had to answer all those prayers. Hats off also to all those brave rescuers from around the world, who made it possible with the support of Royal Thai Navey",">""The miracle happened in the evening. We were sitting on a stone and heard some people talking. Coach told us to be quiet and listen."""
>Karen Oloffo-Love,>I love how the Thai government handled this as well - no media when the boys were brought out - no bad pictures of them or the rescuers... names not released until the full operation was complete - that would never have happened in America!,">""The miracle happened in the evening. We were sitting on a stone and heard some people talking. Coach told us to be quiet and listen."""
>Kathleen Roberts,>Thank Saudi Arabia for this mess. Let them clean it up,>This is what childhood looks like in war-torn Yemen.
>Teresa Carr,>If they had a different religion maybe they would have a chance,>This is what childhood looks like in war-torn Yemen.
>Tim Sircoloumb,">This is so Canadian! ""Yep, a bear mauled me, it was my bad."" haha. Glad the guy is ok!!!",">""Not everybody gets to mess with a grizzly bear and come out of it."""
>Laura Sirko,">In my culture if you are attacked by an animal and survive,  that is forever your guardian spirit.  You are truly blessed sir.",">""Not everybody gets to mess with a grizzly bear and come out of it."""
>Melissa Barnes,>I live close to him. On one of the neighborhood pages a local convenience store owner ran into him and his dad at the grocery store. The store owner said he paid for six months worth of hotdogs for him. Business man to business man. Support local businesses.,">Instead of shutting him down, Minneapolis supplied equipment and taught him to comply with standards."
>Denise Bourgeois,>Oh look it's the path Melania took.,">An alleged Kremlin agent offered sex for a job with an American special interest organisation she targeted, say US officials."
>Kelle Walker,>A female Russian offering sex....please...that's her regular job...spy was her cover,">An alleged Kremlin agent offered sex for a job with an American special interest organisation she targeted, say US officials."
>Thana Wongkittiroch,>Just what the US needs...more guns. ,">The makers said:  ""The age of the downloadable gun formally begins."""
>Barbara Adams,>Interesting that she blames the US for her situation and not her parents.  Complaining because she can’t get financial aid for her education rather that being grateful that she’s getting one at all.  Yawn,">'My parents brought me here illegally, and now I can't leave the city or I risk deportation.'"
>Claire Margaret Guthrie,>My question to you is why haven’t you all these years become a citizen?,">'My parents brought me here illegally, and now I can't leave the city or I risk deportation.'"
>Sophie Brooke,>I read dock as dick. Don't know why ,">First it had problems floating, now this. "
>Carl Holding,>It's too long and full of seamen,">First it had problems floating, now this. "
>Arena C Morrin,">The older generations really have a hard time with “no”. Whatever happened to gentlemanly behavior, oh thats right it was always a myth.",">Grandad Ronald James shouted at cabin crew, poked them and demanded to see the captain."
>Chloe Knowles,">I’m Cabin Crew and at a previous airline I worked for, I was told by a woman I’d spoilt her son’s entire holiday because I’d ran out of the exact sandwich he wanted (he’d apparently been looking forward to this particular sandwich for 3 weeks prior to the holiday)",">Grandad Ronald James shouted at cabin crew, poked them and demanded to see the captain."
>Oko Solo,>How's this news to us not living in the UK.......The BBC is gradually loosing it's credibility as worldnews,>Oops. 
>Lisa Steffi,>So the British Broadcasting Corporation should report on everything EXCEPT the UK? ,>Oops. 
>Thomas Marsh,>I'm glad the canal got publicity because apparently they need a big plug.,>Oops. 
>BBC News,">Senior BBC managers have to ""carry the can"", Sir Cliff Richard said, after winning his privacy case over the coverage of a police raid on his home. ",>Sir Cliff v BBC - how did we get here? 
>Jonathon Laraune,>The BBC wouldn't know what the truth was if it jumped and bit them. guess who gets to pay this compensation dear license fee payer?,>Sir Cliff v BBC - how did we get here? 
>Ena Yat,>Sell out? What else do you expect from 1 guy? How much 1 person can achieve in a life time? Most of us don't even scratch the surface of what Mandela did for South Africa.,">He's a hero to many, but why do some young South Africans think Nelson Mandela ""sold out""? "
>Lis Foley,">there is another great way to have complete sex control it's a new method but little talked about: dont' do it .... of course it's a need, but so are many other things and we control them.",>The secret test kits helping people take control of their sexual health. (via 
>BBC News,">Volcano, check. Sunset, check... Read about Princess Eugenie's ""perfect moment"" proposal here: ",>Royal fans can enter a ballot for a chance to experience the Windsor Castle wedding. 
>Mike Wood,>How lovely that they are inviting the commoners to their wedding. I will be all over that ballot! I would love the opportunity to bow and scrape before someone who’s greatest achievement in life was being born..,>Royal fans can enter a ballot for a chance to experience the Windsor Castle wedding. 
>BBC News,>More on this amazing story: ,">""It was a miracle!"""
>Ellie Corless,>I hope they don’t parade them around too much. They are still vulnerable to PTSD and other issues such as panic attacks and phobias after such a traumatic experience,">""It was a miracle!"""
>BBC News,>Here's more on the story: ,">""It is not too late to save "
>BBC News,>Here's a profile of Boris Johnson: ,">""It is not too late to save "
>Jennifer Kode,>Miss Universe is rigged. Have you ever noticed that all the winners are from Earth?,">""I've not only won the pageant as Dee-Ann, but as a black woman."""
>Pooja Shah,>Why bring colour into it?,">""I've not only won the pageant as Dee-Ann, but as a black woman."""
>Shawna Massengill,>But in all the years the competition existed none had. So obviously color did have something to do with it. It’s historic because hopefully it means that it’s starting to matter less. That’s a victory.,">""I've not only won the pageant as Dee-Ann, but as a black woman."""
>BBC News,>Here's a profile of Boris Johnson: ,">""It is not too late to save Brexit"""
>Deanna Denton,>It appears the only people in this country with courage are the ones who voted ‘LEAVE’ and how dare the remainers assume we are incapable of comprehending the difficulties involved in producing a successful brexit. ,">""It is not too late to save Brexit"""
>Rhonda Henderson,>I'm glad to see this although it won't really hurt Google. Every Android phone has Google preinstalled and they have created a monopoly.,">The EU says Google used the Android operating system to illegally ""cement its dominant position"" in internet search."
>Jon Bronson,">If they should fine anyone it should be Apple, with their completely locked down devices and planned incompatibility.",">The EU says Google used the Android operating system to illegally ""cement its dominant position"" in internet search."
>Sharmila Atchigadu,">Long walk to freedom! Philanthropist, Political leader, South African anti - aparathied revolutionary. Great Soul!",">""Love comes more naturally to the human heart than its opposite."" "
>Chris Tuttiett,>Hardly lost. It was deliberately flooded in 1929.,>The UK's heatwave and drought has uncovered ruins of a lost village in a reservoir.
>Barry Mcgowan,">But really like, who builds a village inside a reservoir? They deserved to be flooded then.",>The UK's heatwave and drought has uncovered ruins of a lost village in a reservoir.
>BBC News,">Hi all, thanks for watching. There may be some sound delays as the conference begins, please bear with us.",">Watch again: Home, at last! The boys who were dramatically rescued from a cave in Thailand spoke for the first time to the media after being released from hospital. "
>BBC News,>It's the story that captivated the world: ,">Watch again: Home, at last! The boys who were dramatically rescued from a cave in Thailand spoke for the first time to the media after being released from hospital. "
>Izo Munguaviku,">Teen life in the UK is so pitiful. By age 15, I already knew alot of stuff going on around me. ",">Drinking less, having less sex and more focused on education."
>Carl Holding,>We don't need to know about you getting finger blasted when you were 15 thanks,">Drinking less, having less sex and more focused on education."
>Austin J Gurnett,>Because teens answer anything honestly.,">Drinking less, having less sex and more focused on education."
>BBC News,">The judge said the BBC had infringed Sir Cliff's privacy rights in a ""serious"" and ""sensationalist"" way. ",">Sir Cliff Richard wins his privacy case against the BBC and at least £210,000 in damages over its coverage of a police raid on his home."
>BBC News,">Sir Cliff said he was ""choked up"" at the judgement, adding: ""It's wonderful news."" ",">Sir Cliff Richard wins his privacy case against the BBC and at least £210,000 in damages over its coverage of a police raid on his home."
>Ashish Saraf,">Every time BBC posts something positive about India, I rub my eyes with disbelief. Is it real or am I dreaming.",">""Sometimes all we want is just to be able to meet someone for a cup of coffee."""
>Sneha Jha,>Such a positive and motivated approach. Technology being used for a cause.,">""Sometimes all we want is just to be able to meet someone for a cup of coffee."""
>Hugo Mene Brantov,>His title “Dr Bumbum” will be appreciated in jail.,>The celebrity plastic surgeon vanished after a woman died following buttock enhancement injections.
>Carole Brownlie,">Half the female population trying to reduce the size of their butt, and the other half, trying to enlarge it. Nuts!!",>The celebrity plastic surgeon vanished after a woman died following buttock enhancement injections.
>BBC News,>Meanwhile... ,">Elon Musk has said sorry to the British rescue diver he called ""pedo guy""."
>Marie Svensson,>So will the diver apologise for making fun of musk for trying to help the kids with a different idea approach in the form of a mini submarine?,">Elon Musk has said sorry to the British rescue diver he called ""pedo guy""."
>Wendy Evans,>No deal then walk away and keep walking,>Her last chance to rally backbenchers before the summer recess.
>Bright Peterson,>Second referendum,>Her last chance to rally backbenchers before the summer recess.
>Matt Walsh,>Is everything that is wrong in the world going to be blamed on Donald Trump. Whilst we’re at it let’s blame Trump for Nelson Mandela being sent to prison.,">""Innocent people were murdered. And the man whose arse you've been kissing did this, and continues to lie about it, is an irrefutable fact."""
>Sue Whitehurst,">No Matt, it's very simple. This man had his children and father-in-law blown out of the sky and wants justice. Trump had the chance to discuss this with Putin........",">""Innocent people were murdered. And the man whose arse you've been kissing did this, and continues to lie about it, is an irrefutable fact."""
>Eddie Barlow,>Wherever you live be glad if your President is not Trump,">""Innocent people were murdered. And the man whose arse you've been kissing did this, and continues to lie about it, is an irrefutable fact."""
>Nancy Diamond Wagner,">when he said it would start very soon, he meant it wouldn't start very soon.",">A shift in tone from the US president, who previously said it would start very soon."
>Linda Morris,>This man has roughly 50 words in his vocabulary.,">A shift in tone from the US president, who previously said it would start very soon."
>Celeste Lear,>You know that ufos actually made these.,>Rice field level: Japan. 
>Fares Ahmed Mahjoub,>Prophet Mohammed said,>Rice field level: Japan. 
>Deirdre Doyle,">Respect the beliefs of others and thank the rescuers for risking their lives (and especially the Thai diver who died) to get the 13 out safely. If you are religious, give thanks to the Supreme Being whatever the name given in your religion. Mocking other people's beliefs is ill-mannered and destructive and achieves nothing.",">""It's like they died but have now been reborn."" "
>Rajkumari Dharamdass,>This is not Black Magic.  It is their Thai people's believe based on a legend.  Asian's have a lot of legends and we should respect their beliefs and not make any unnecessary UNKIND REMARKS.,">""It's like they died but have now been reborn."" "
>Richard Molby,>Until Elon Musk says otherwise...,">""Extraordinary acts of heroism."""
>Abraham John,">Why is this world forcing these kind of things on children and youth? DC comics was always a good read when we were young, but now now tainted by forceful ideas pushed in the form of equality and liberty",">Step aside, Bruce Wayne. Here comes Kate Kane! "
>Irena Byrtus,>Why do we have to label super hero’s sexual orientation??? ..when I was was a kid I didn’t wonder who they sleep with!,">Step aside, Bruce Wayne. Here comes Kate Kane! "
>Tristan McCorry,>Love interests and superheroes home lives run throughout comic book history.,">Step aside, Bruce Wayne. Here comes Kate Kane! "
>JT Sanderson,">Perhaps when Trump promised he WOULD invest in North Korea in return for nuclear disarmament, he actually meant to say he WOULDN'T invest...",>Kim Jong-un is not impressed.
>Nigel Johnston,>Thought Kim was in Belfast there for a minute with that yellow crane behind him! ,>Kim Jong-un is not impressed.
>Nick Adams,>That's nothing!!!,>Walter went the extra mile to make his first day at work — and got the reward he deserved. 
>Michael Dunn,>Its a Monty Python reference.,>Walter went the extra mile to make his first day at work — and got the reward he deserved. 
>William Ambrose,">CEO, police officer, and grit of young man are wonderful. Now, imagine if one of the richest nations on earth had a halfway decent public transport system- wow. Mind blown  ",>Walter went the extra mile to make his first day at work — and got the reward he deserved. 
>Leigh Smith,>No wonder they elected Trump.,>Mind the gap. 
>Chris Taulbut,>I started this video believing she was gunna jump the gap...I was thoroughly disappointed.,>Mind the gap. 
>Wes Granberg,>short story:,>Trump and Putin? It's complicated. So we've put this together.
>Michael Linkowich,>It isn’t difficult. Trump wants the power Putin has.,>Trump and Putin? It's complicated. So we've put this together.
>Graham Vaughn,">Dude should be fired or suspended, no telling how many people's lives he put in danger by wildly firing a gun while driving. They are trained, or should be, in ways to disable a fleeing vehicle, none involve shooting it. He could have shot a pedestrian or someone in their home, bullets travel pretty far.",>Police fired 34 rounds while chasing a suspect through the streets of Las Vegas.
>Andy Hale,>Just when all hope had desserted them.,>Thank goodness it's now safely in custardy.
>Terry Knox,>The only pudding that is 'Out of this World'.,>Thank goodness it's now safely in custardy.
>Melanie Kinkead,">A whole lot of us......miss having the Obamas (and family) in the White House....for many, many crucial humanitarian reasons....and more.....how about: ethics, morals, manners, statesmanship, and leadership coming from an educated, articulate, true gentleman!",">""People just make stuff up."""
>Samantha Louise,>Remember when Obama let Russia invade Ukraine? I do. ,">""People just make stuff up."""
>Fay Saad,">And he finished his statement by saying that his new statement is a double negative, which means he stands by his original statement!",>President Trump has told reporters he never meant to imply that he did not believe that Russia meddled in the US election. 
>Thomasina Seah,">Why are there so many cures for impotence, but none for cancer? Priority...",>The perilous search for 'Himalayan Viagra'. 
>Teresa Hartman,>Hysterectomy was best thing to ever happen for me.,">""I've lost clots the size of my hand."" "
>Mel Urban,">Ablation. Had some other things taken care of in that surgery. Still low iron, but not as exhausted. Women, if ur having problems, seek help. If ur Dr won't listen, get a diff Dr. Seriously. We deserve good reproductive care.",">""I've lost clots the size of my hand."" "
>Dee Spencer,">Actually, with respect, some of us trained for four years. The one year course whether it be PGCE or School Direct training does not adequately prepare anyone to be a teacher.",">This headteacher has scrapped marking, she says it's given her staff their lives back. But how would you feel if your child's books didn't get marked? "
>Elaine Taylor,">If kids have to do the work, it should be marked and comments left about improvements that could be made or a “well done”.",">This headteacher has scrapped marking, she says it's given her staff their lives back. But how would you feel if your child's books didn't get marked? "
>Natalia Hurst,">And while we're at it, can we stop assuming we can diagnose everyones medical issues and abilities ",>Tanyalee Davis says a guard threatened to call police when she didn't give up a disabled space for a pushchair.
>Debi J. L. Albright,">Yes, the guard is despicable, so is the mother who wanted the space for her pram. Who asks a disabled person to move for their stroller?!",>Tanyalee Davis says a guard threatened to call police when she didn't give up a disabled space for a pushchair.
>Debi J. L. Albright,>Person > stroller,>Tanyalee Davis says a guard threatened to call police when she didn't give up a disabled space for a pushchair.
>BBC News,>Follow the latest live as MPs debate and vote on the Trade Bill ,>Baffled by Brexit?
>Davey Cammack,>It's not a hotels fault the country legally allows people to buy automatic assault rifles &amp; carry them around as if you would a phone or a wallet.,>The lawsuit is an attempt to avoid liability for the gun attack in Las Vegas that killed 58.
>Paul Shrimpton,">THAT’S what you took from that, Dee? ",>The lawsuit is an attempt to avoid liability for the gun attack in Las Vegas that killed 58.
>Shaun Vickers,>Keep them . We are full to capacity,>Stranded in Libya: The orphaned children of Islamic State's foreign fighters. 
>Stacy Kroot,>I am convinced....the main problem in the world is adults. I will dare say a large proportion being adult males.,>Stranded in Libya: The orphaned children of Islamic State's foreign fighters. 
>Luke Oscar Finn,">And wait for all the 'God bless' and 'God be with you's'........the same so called all powerful, omnipotent being that gave him cancer in the first place.......rest easy little man!",">Terminally-ill Garrett says goodbye before a celebration of his life — including 5 bouncy houses, Batman, and snow cones."
>Sonya Kilgallon,">Too many young beautiful souls dying too young! Why? Shouldn't we be questioning and asking these questions? Is it the Flouride in the water? Or maybe chemicals in the food..pesticides, antibiotics, hormones etc..vaccines? I dont know but we cant keep accepting this as normal! More research needs to be done!",">Terminally-ill Garrett says goodbye before a celebration of his life — including 5 bouncy houses, Batman, and snow cones."
>Rebekah Young,>More than half of children wouldn't survive childhood 200 years ago. Sometimes you just can't prevent bad genes,">Terminally-ill Garrett says goodbye before a celebration of his life — including 5 bouncy houses, Batman, and snow cones."
>Bevin Aislinn,>BBC is going to some length to avoid saying this is in “Ireland”,">Terminally-ill Garrett says goodbye before a celebration of his life — including 5 bouncy houses, Batman, and snow cones."
>Fionn McGinley,">The whole area in Ireland is amazing, the Pyramids often get credit for being some of the oldest monuments but Newgrange itself predates them by some way (3200BC estimated) and is amazing to visit..",">Terminally-ill Garrett says goodbye before a celebration of his life — including 5 bouncy houses, Batman, and snow cones."
>Nimrah Fashi,">Good thing they are jailed, spoilt the match when Croatia was attacking smh",>The activists who brought you this surreal scene have been jailed.
>Angie Z Dubových Strání,">Excellent, I will just urinate wherever I happen to be, whenever I feel the need to. Its only natural.",">""I can't believe I am waking up to headlines with me and my daughter in them for doing something I do every day."""
>Clarissa Cooper,">Breastfeeding is not part of the excretory system, it's not bodily waste. You don't feed babies urine. Breasts sole function is feeding a baby. Any other perception is on you and in your mind alone.",">""I can't believe I am waking up to headlines with me and my daughter in them for doing something I do every day."""
>Allan Gelligen,>Nobody would bat an eye if she walked down the runway with her boob out of her top. They call it fashion. But attach a baby to the woman's nipple for breast feeding and everybody loses their minds. Get over yourselves,">""I can't believe I am waking up to headlines with me and my daughter in them for doing something I do every day."""
>Maz Jones,">Thank you, well said. I walked through a shopping centre with a baby attached to me, the looks I got from women who were dressed inappropriatly in proportion to their judgment was astounding",">""I can't believe I am waking up to headlines with me and my daughter in them for doing something I do every day."""
>BBC News,>You can read more about this story here: ,>Getting close to a volcano was on his bucket list — but it ended up being a terrifying experience. (via 
>Jenny Howard,>Next on the list ... patting a tiger,>Getting close to a volcano was on his bucket list — but it ended up being a terrifying experience. (via 
>BBC News,>Inflation v wages:,>Figures show unemployment is down but wages aren't growing by much. What's your experience?
>Tony Lowe,>BREAKING NEWS - The rich get richer and the poor get poorer! Ain't we got fun..?,>Figures show unemployment is down but wages aren't growing by much. What's your experience?
>Chris Newton,>Fake news! I invented bread,>Crumbs.
>Ian Upton,>back in neolithic times you could buy this pre made fresh on Morrisons Cave Street hunter gather supermarket.,>Crumbs.
>Helen Metcalfe,>Will they allow teachers/nurses/doctors/paramedics to have an extra 5 days too? And will they claim 5 fewer days of expenses?,>The government has suggested they start their summer break five days early. 
>Pat Forster,">If they do that, then they can come back from the Summer Recess three weeks early hopefully refreshed and ready to sort out this tragic mess. Either that or call a General Election, or even better, announce that Brexit has been called off AND that there is to be a General Election.",>The government has suggested they start their summer break five days early. 
>Craig Qualter,>Who cares we are leaving and thank god bye bye Europe and all you remain lot just get over it you will never get your way the people want out so get over it and help to rebuild the this great nation,">The Brexit campaign group has been fined £61,000."
>James McMenemy,">My country voted remain, good luck in rebuilding England ",">The Brexit campaign group has been fined £61,000."
>Roger Verrall,>Does this not make the case for the running the referendum again? The result could be judged as null and void!,">The Brexit campaign group has been fined £61,000."
>Dave Butterfield,>It always amazes me how a country that has so much rain runs out of water!!!.,>The temporary ban will affect seven million people.
>Nicole Fabian,>We did this in Australia for years. Toughen up ,>The temporary ban will affect seven million people.
>Ylenia Palmieri,">This is the risult when we keep God away of  our life.  Without God we are slave of sins and all bad things.  We need to be truly free and happy and for this reason Jesus died on the cross to save us,  for his eternal Love.  Trust Him and our soul will know Peace!",>The horrific reality of Spice - the zombie drug. 
>Andrew Whipp,>God is just another drug,>The horrific reality of Spice - the zombie drug. 
>Giorgi Sanikidze,>This is the result of keeping harmless ,>The horrific reality of Spice - the zombie drug. 
>Giorgi Sanikidze,">Marjorie Clarke  I am regular user for last 25 years. I have a successful career, great social life and friends, family... well, I have good life and I am self-made...  plus I study cannabis for last 20 years, so I seem to have pretty good idea about it, don't you think?",>The horrific reality of Spice - the zombie drug. 
>Mark Tucker Stacey,>Why should he be treated different than anyone else?,">""It's unrealistic to expect someone to take two years out from a professional football career."""
>Cheng Solo,">Yes, there should be exceptions for potential talents not to be stifled just because of national service. National service can wait, opportunities to be an elite sportsperson not that much. Individuals are born unique and to have blanket treatment for all isn't exactly fair or just in the bigger picture.",">""It's unrealistic to expect someone to take two years out from a professional football career."""
>Thomas N Carter,>I am not Singaporean. This young man needs military training. If he is a good enough soccer player he can play in the military.,">""It's unrealistic to expect someone to take two years out from a professional football career."""
>Blessings Aswald,">No one cares about 3rd world countries, I'm surprised that the story found it's way to BBC... I know CNN won't report it, they're too busy destroying Trump's reputation",>149 lives were lost after a suicide bomber targeted a political rally.
