commentor,comments,news
>Chris Tuttiett,>Hardly lost. It was deliberately flooded in 1929.,>The UK's heatwave and drought has uncovered ruins of a lost village in a reservoir.
>Barry Mcgowan,">But really like, who builds a village inside a reservoir? They deserved to be flooded then.",>The UK's heatwave and drought has uncovered ruins of a lost village in a reservoir.
>BBC News,">Hi all, thanks for watching. There may be some sound delays as the conference begins, please bear with us.",">Watch again: Home, at last! The boys who were dramatically rescued from a cave in Thailand spoke for the first time to the media after being released from hospital. "
>BBC News,>It's the story that captivated the world: ,">Watch again: Home, at last! The boys who were dramatically rescued from a cave in Thailand spoke for the first time to the media after being released from hospital. "
>Austin J Gurnett,>Because teens answer anything honestly.,">Drinking less, having less sex and more focused on education."
>Izo Munguaviku,">Teen life in the UK is so pitiful. By age 15, I already knew alot of stuff going on around me. ",">Drinking less, having less sex and more focused on education."
>Carl Holding,>We don't need to know about you getting finger blasted when you were 15 thanks,">Drinking less, having less sex and more focused on education."
>BBC News,">The judge said the BBC had infringed Sir Cliff's privacy rights in a ""serious"" and ""sensationalist"" way. ",">Sir Cliff Richard wins his privacy case against the BBC and at least £210,000 in damages over its coverage of a police raid on his home."
>BBC News,">Sir Cliff said he was ""choked up"" at the judgement, adding: ""It's wonderful news."" ",">Sir Cliff Richard wins his privacy case against the BBC and at least £210,000 in damages over its coverage of a police raid on his home."
>Saleem Khan,>Snppp,">Abhishek Bachchan shared an adorable family picture on instagram, which is giving us new family goals: See pic"
>Saleem Ghayas,>Nice family god bless you,">Abhishek Bachchan shared an adorable family picture on instagram, which is giving us new family goals: See pic"
>Harneet Kaur,>Sweet,>Take a look at the photos of the duo from London...
>Asha Jain,>Happy birthday,>Take a look at the photos of the duo from London...
>Ali Muscat,>Hshshahahaha,>IAF fighter jet pilot Meet Kumar died after a MiG-21 aircraft crashed in Patta Jattiyan in Jawali subdivision of Himachal Pradesh's Kangra district.
>Raj Bali,>MiG plane is responsible for most crash in IAF.,>IAF fighter jet pilot Meet Kumar died after a MiG-21 aircraft crashed in Patta Jattiyan in Jawali subdivision of Himachal Pradesh's Kangra district.
>Harsh Karn,>Omg...,>A former Pakistan Tehreek-e-Insaf (PTI) leader allegedly went missing from Islamabad.
>Satish Sehgal,>Control Swami ji,>Swami Agnivesh was allegedly beaten up for his 'anti-Hindu' stance on Tuesday. He was in Pakur to attend an event in Littipara of the district.
>Kanai Lal Sahu,>Top most DERTIEST and criminals robber looters corrupted man promoted by Congress belted dog of Sonia,>Swami Agnivesh was allegedly beaten up for his 'anti-Hindu' stance on Tuesday. He was in Pakur to attend an event in Littipara of the district.
>Rakibar Halder,>Sala chamcha of BJP,>Rajya Sabha MP 
>Rakibar Halder,>Change your name goubash.,>Rajya Sabha MP 
>Fahad Awan,>no man arshad was too good,>As per reports Rajkumar Hirani believes that Ranbir and Sanjay will share a great camaraderie with each other in the next Munna Bhai sequel.
>Kshitij Parihar,>Circuit can't be replaced n that can be done only by Arshad Warsi,>As per reports Rajkumar Hirani believes that Ranbir and Sanjay will share a great camaraderie with each other in the next Munna Bhai sequel.
>Pushkar Tapasvi,>Sad part no one ready to by as it had huge amount of debt and over staffed,>Unbelievable! This Indian airline is not even in 'Top 100 Best Airlines in the World' list.
>Vasudev Patil,>very good ..keep it up,>Unbelievable! This Indian airline is not even in 'Top 100 Best Airlines in the World' list.
>MD Rakybull Islam Akash,>its to best post rohingya,>Unbelievable! This Indian airline is not even in 'Top 100 Best Airlines in the World' list.
>শেষ ঠিকানা,>tnx,>Unbelievable! This Indian airline is not even in 'Top 100 Best Airlines in the World' list.
>Rajkumar Subedi,">Natural disatar may take many life in India as Nepal got experienced of earthquake in 2015 took the life aroud ten thousand,lack of early procedure,arrogance,ignorance on Goverment and people causes such unberabrable missearies and sarrows However nobody  had predacted ,",>Unbelievable! This Indian airline is not even in 'Top 100 Best Airlines in the World' list.
>Marie Egea Lukather,>My fave medical drama.,>[Culture News]
>Kerry Maher,>Great series!,>[Culture News]
>Wendilynn Kerezman,>string them up by their gonads,>[Abuse Scandal]
>RoseMarie Mucklin,">It is pretty much absurd for Europe to demand that NATO protect them from the Russians, but to then turn around and rely on Russian energy. All Russia has to do to intimidate is to shut off the gas, which NATO can do nothing about, and Europe is done. The stupidity is beyond words.",>Trump criticizes Germany over Russian energy use
>Kurt Bucher,>THE MIDDLE DOWN,>99% fail 
>Steven Wollam,">When Trump arrived home he found out that even those in his own Republican Party were calling him a Traitor. Therefore, Trump had to backtrack and make an excuse by saying he 'misspoke.' Of course that's a lie. However, if we are to believe that Trump somehow ""misspoke"" and that he's not really a Traitor, then, we have to believe that he's an addle dotard who should either resign or be impeached.",>Putin-Trump meeting in Helsinki: Bilateral talks kick off
>Gears Paul,>President Donald Trump is one of the best President in the World,>Putin-Trump meeting in Helsinki: Bilateral talks kick off
>Asoka Ishaya,>He’s a gangster. Full of it. When do you know when he’s lying. When his lips are moving.,>Putin-Trump meeting in Helsinki: Bilateral talks kick off
>Lydia Johnny Castillo,>Unhealthy people are so toxic.,>Putin-Trump meeting in Helsinki: Bilateral talks kick off
>Asoka Ishaya,>Aljazeera teling the truth for a change ha ha,>Putin-Trump meeting in Helsinki: Bilateral talks kick off
>RoseMarie Mucklin,>The person should have been shot down. Simple. But these days we have sentimental politically correct cowards in charge.,>Putin-Trump meeting in Helsinki: Bilateral talks kick off
>Eddie Stem,">Trump ist ein zwanghaftes Stück Scheiße, das niemals die Wahrheit sagen kann, egal ob sein Leben davon abhängt, und er ist ein Verräter, der Amerika für seinen Meister Putin zerstört.",>Putin-Trump meeting in Helsinki: Bilateral talks kick off
>Özil Kraemar,>Serves right,>Have a blessed Sunday to all
>RoseMarie Mucklin,">I doubt if Trump ""slammed"" Germany over the gas pipeline. He probably made a statement that Germany is beholden to the Russians and does business with them, which is true. Germany has very few natural resources of its own and is beholden to Russia for its gas. So what exactly is wrong with saying that?",>Trump slams Germany for gas pipeline deal with Russia
>Lovely Doll,>Face book id???,>More additional info you could find on 
>جمشید کازمن,>you are telling right commitments need to be fulfilled with some positive reactions falling within JCPOA,>Iran English News - Iran’s Zarif Urges Europe to Back Up JCPOA Commitments with Actions
>Gary Stevenson,">The rest of the world. Big league of life. Canada: junior league of life. Shalom, shalom, shalom to all our sisters and brothers: jews, arabs, Blacks, etc It is not because we criticise one or sereval governments that we don't like our brothers and sisters. All governments are fucked up and violent. God please bless humanity. All praises to Almighty God.",>Iran English News - Former member calls into question MKO claim on bombing Paris rally
>Gary Stevenson,>Good it is a protection for the Palestinians,>Iran English News - Russia reiterates supporting JCPOA
>Valentino Moses,">Fake news, can't trust this terrorist regime's media",>Trump-Putin summit: US president under fire over poll meddling comments
>Steven Cunnington,>There was no fucking meddling,>Putin's poodle Donald Trump branded a traitor and accused of treason after backing Russian leader over election meddling
>Walid Allan,>This is good for everyone.,>John King on Trump: Never seen a president surrender to Russia
>Mahmed Rafik Koya Lalgora,>Not gud for pelestine,>John King on Trump: Never seen a president surrender to Russia
>Justin Waupako Mado,>poa,>Iran English News - ‘Dirt cheap’ water in Iran causes thoughtless overconsumption: official
>Justin Waupako Mado,>du,>Iran English News - ‘Dirt cheap’ water in Iran causes thoughtless overconsumption: official
>Kamwaka Edward,>chelsea we need wins only,>Fabregas keeps Chelsea in top-four hunt
>Fuanji Da Victory,>Let them prepare to meet the Reds.,>Real Madrid came from behind to seize a 2-1 Champions League first-leg lead over Bayern Munich
>Brown Jenkins,>Liverpool will score again,">It's all over at Anfield and despite racing into a 5-0 lead, Roma made it a nervy finish for Liverpool with two late away goals that could have a huge say in who makes it to the final in Kiev."
>Dalukuhle Dali Gwazela,">Yeah right! Rome defense kept Messi, Saurez and Coutinho all quite for 90 minutes. Believe me when I say it's going down next week Wednesday. Liverpool won't even snif the final.",">It's all over at Anfield and despite racing into a 5-0 lead, Roma made it a nervy finish for Liverpool with two late away goals that could have a huge say in who makes it to the final in Kiev."
>Misikir Biniyaam,>fa cup man utd vs chelsea may 19,">It's all over at Anfield and despite racing into a 5-0 lead, Roma made it a nervy finish for Liverpool with two late away goals that could have a huge say in who makes it to the final in Kiev."
>Misikir Biniyaam,>premier league ,">It's all over at Anfield and despite racing into a 5-0 lead, Roma made it a nervy finish for Liverpool with two late away goals that could have a huge say in who makes it to the final in Kiev."
>Hibi Taylor Perry,>Masive,>Manchester City moved closer to breaking Chelsea's all-time Premier League points record with a 5-0 victory over Swansea City on Super Sunday .
>Oduor Musa,>Results,>Manchester City moved closer to breaking Chelsea's all-time Premier League points record with a 5-0 victory over Swansea City on Super Sunday .
>Preshious Priceless,>Good one guys,>Manchester City moved closer to breaking Chelsea's all-time Premier League points record with a 5-0 victory over Swansea City on Super Sunday .
>Rodney Clifford,>Jodie Clifford,>FT: Man Utd 2-1 Tottenham
>Pethiaricious Musonda,>Good  job  Sir.,>FT: West Brom 2-2 Liverpool
>Lee Bromz,>This conspiracy started under Obama.,">President Trump's assessment in the White House Wednesday contradicts that of his own director of national intelligence, Dan Coats."
>Pedro Castro,">Wonder why his face is the 1st result when you Google ""idiot""!",">President Trump's assessment in the White House Wednesday contradicts that of his own director of national intelligence, Dan Coats."
>Peter Szopinski,>Unofficially Putin is far far richer,">Amazon founder and CEO Jeff Bezos is the ""richest in modern history"", according the Bloomberg Billionaires Index."
>Mohamed Maelainine,>Jamila Manel,">Amazon founder and CEO Jeff Bezos is the ""richest in modern history"", according the Bloomberg Billionaires Index."
>Georgios Papadopoulos,>On the rocks or dry?,">European Commission President Jean-Claude Juncker asks for ""respect"" after a video of him stumbling at a NATO summit went viral."
>Sava Dragunchev Jr.,">Juncker, just go!",">European Commission President Jean-Claude Juncker asks for ""respect"" after a video of him stumbling at a NATO summit went viral."
>Archy Beleris,>Northern Cypriots?something is wrong there....try to fix it.,>Northern Cypriot and Turkish coast guards together with helicopters rescued 103 migrants with the help from commercial vessels in the area
>Christian Magliano,>Bravi... un po a ciascuno non fa male a nessuno,>Northern Cypriot and Turkish coast guards together with helicopters rescued 103 migrants with the help from commercial vessels in the area
>Lasse Henskjold,">It's unfair to accuse Theresa of such intentions, after all she's a half member of Marvel's heroes.",">A lawmaker who was at home with her three-week-old baby accused the government of breaking an informal agreement in order to ""win at all costs."""
>Hugo Ledo,">The definition of meteotsunami is not ""small tsunami"".",">A German tourist has died after being swept away by waves during a meteotsunami in Mallorca, Spain."
>Arsen Kazaryan,>No good,">A German tourist has died after being swept away by waves during a meteotsunami in Mallorca, Spain."
>Jan Østergaard,>EU is a joke!  I want OUT!,">Russian relations, the Kardashians and rock band System of a Down were discussed with the pranksters pretending to be the Armenian prime minister. But one security expert has warned of 'unwitting espionage'."
>George Karam,>Ani Sarkissian Gosdanian Vilma Sarkissian Kouyoumjian,">Russian relations, the Kardashians and rock band System of a Down were discussed with the pranksters pretending to be the Armenian prime minister. But one security expert has warned of 'unwitting espionage'."
>Jutta Jacobs,>If our police would only do this in the US. They are too busy shooting black people.,">The police took away Fiats, BMWs, Mini Coopers, Porsches, Range Rovers and Harley Davidson motobikes."
>Chetana Sin,>Thanks,">FUTURIS | Inside the millions of containers arriving in Europe, there are also illegal goods such as weapons, drugs and radioactive materials. How can customs controls be made more effective without slowing down unloading operations? The C-Bord project may have an answer."
>Mark Anderson,>End this madness now,">Boris Johnson says ""it is not too late to save Brexit"" during his resignation speech at parliament."
>Douglas Anderson,>Bingo! one major ,">Boris Johnson says ""it is not too late to save Brexit"" during his resignation speech at parliament."
>Mano Baumgarten,>a photo of the only one poor woman out of 100 military aged males,">This is the sole survivor after three migrants were abandoned in the sea off Libya, a Spanish charity has claimed."
>Richard John Rutter,>Guess it's best to just not try invading Europe then.,">This is the sole survivor after three migrants were abandoned in the sea off Libya, a Spanish charity has claimed."
>Iulius Bidalach,>What happent to his hair?,>Former foreign minister Boris Johnson gives speech after resignation.
>Tomasz Piasny,>You guys are miserable first to decide to leave and then not be able to decide “how” !!!!!,>Former foreign minister Boris Johnson gives speech after resignation.
>Franko Giamma,">Impossibly becouse its ""raining chairs legs"" now in south!",>Boris Johnson gives speech after resignation last week
>Stephen Connell,">Has Thailand sealed that cave yet? That would be a good thing. It would prevent others from taking a dare, that's what boys do,",>The 12 boys and their soccer coach rescued from a flooded cave in Thailand left a hospital on Wednesday to make their first public appearance at a nationally-broadcast news conference in the northern province of Chiang Rai.
>Andy Nice,>ALL POWER BELONG TO GOD,>The 12 boys and their soccer coach rescued from a flooded cave in Thailand left a hospital on Wednesday to make their first public appearance at a nationally-broadcast news conference in the northern province of Chiang Rai.
>Marion Nane Lucke,>it´s JULY,>Your monthly global climate update - in one minute!
>Cristian Gallo,>The problem is that i don t think mr trump likes denmark!:),">European Commissioner for Competition, Margrethe Vestager: ""I very much like the US. I'm from Denmark, and that's what we tend to do. We like the US."""
>Manfredi Montana,>With Erdogan in the power everybody is a terrorist.,">The state of emergency saw the detention of some 80,000 people"
>Patrick Holzer,>The Islamic Republic of Turkey.,">The state of emergency saw the detention of some 80,000 people"
>Les Reich,>She may have a Swedish passport...but she ain't and never will be Swedish.,>Candidate for Swedish parliament Oldoz Javidi Tuesday retracted her suggestion to transfer Israeli Jews to the United States to the Middle East conflict for fear that her idea might be “misinterpreted.”
>יצחק חזן,">Because people like you sweden will be lost in the hands of islamic group that are all ready having a Gaza stream ""i think they called melmo",>Candidate for Swedish parliament Oldoz Javidi Tuesday retracted her suggestion to transfer Israeli Jews to the United States to the Middle East conflict for fear that her idea might be “misinterpreted.”
>Benito Gomez,>male and female together make one not male and male duh.,">After Netanyahu voiced support for male surrogacy rights, he voted against it just a couple of days later. Now, LGBT protests are erupting in Tel Aviv, and same sex male couples are still left struggling to find a way to have a family:"
>Richard Marc Rappaport,>Try Gaza,">After Netanyahu voiced support for male surrogacy rights, he voted against it just a couple of days later. Now, LGBT protests are erupting in Tel Aviv, and same sex male couples are still left struggling to find a way to have a family:"
>Carlos Fernando Silva Costa,>Numa coisa a Direita rançosa e a esquerda trauliteira estão de acordo : o ódio a Israel e aos Judeus . Não terão qualquer proveito : o Tssahal e a Instituição velam por Israel .,">The Louisiana Magistrate judge ruled that while the Supreme Court has refrained from defining “race’ under the statute, Jews have been treated as a racial or ethnic group, warranting legal protection against discrimination."
>Azubuike Zubbes Ofodumogu,>I Don't Understand Please!,">The Louisiana Magistrate judge ruled that while the Supreme Court has refrained from defining “race’ under the statute, Jews have been treated as a racial or ethnic group, warranting legal protection against discrimination."
>Mike Schiller,">He misspoke, he meant to say ""friendly"".",">US President Donald Trump claimed on Wednesday that no president has been as ""tough"" on Russia as him but appeared to contradict his intelligence agencies when asked if Russia was still targeting the United States."
>Andre de Azevedo,">This is a joke, they should work to improve the lives of Israelis ... While they want to help Arabs, the Arabs burn our plantations, they launch against us mortars and missiles. Our language is Hebrew !!!",>Israeli parliament will soon take a final vote on the controversial nation-state bill that will designate Arabic as a special status language. It is currently an official language of Israel. Is this exclusive behavior?
>Cal Frame,>Any 5 year jail sentences?  Or are those only for Palestinians?,>One officer was reportedly treated at the scene and the other was taken to the hospital after suffering a minor head injury.
>Rich Sanders,>Rock throwing cave dwellings inbreed savages,>One officer was reportedly treated at the scene and the other was taken to the hospital after suffering a minor head injury.
>Steven Walker,">We don't even know how many centrifuges the have now. It was 20 thousand, years ago. I read they added another 10 thousand years ago.",>An Iranian factory is now producing rotors for up to 60 centrifuges a day.
>David Jensen,">Key word, increases, production. So, they're making it? And Obama financed and we indirectly sold them 20% of our uranium? ",>An Iranian factory is now producing rotors for up to 60 centrifuges a day.
>David Mario M. Ratcliff,>They desperately need it to change cuz Ideology trumps Israel or Jews.... But it will be hocus pocus cover up if they change it back. The leftist anti-Semites need the Jew vote. Defeat leftism where it ever it spawns.,">Dame Hodge confronted the leader behind the Speaker's chair and reportedly called him a ""f***ing anti-Semitic racist."""
>Richard Marc Rappaport,>When your are a tiny country surrounded by enemies that have tried to destroy you over and over you make alliance in your best interests . Not Bernie Saunders interest or I24’s,>Hungarian Prime Minister 
>Richard Marc Rappaport,>Where your a tiny country surrounded by enemies that have tried to destroy you over and over you make alliance in your best interests . Not Bernie Saunders interest or I24’s,>Hungarian Prime Minister 
>Daniel Obadia,>Yet another proof that those burning terror attacks are in 100% responsibility of the Hamas...,>The decision reportedly came after warnings that Israel could launch a broad military offensive if the flaming aerial devices continued to wreak havoc on its lands.
>Eteobong Inwek,>Meanwhile the UN  is waiting to pass a resolution condemning Israel if they try to fight back!,>The decision reportedly came after warnings that Israel could launch a broad military offensive if the flaming aerial devices continued to wreak havoc on its lands.
>Rafael Danon,>Patriots vs terror,>Residents of Israel's south are feeling the strain of living next to Gaza during the recent violence. What should the Israeli government do?
>Azubuike Zubbes Ofodumogu,>Hungary Doesn't Value Refugees At All!That Means They Don't Welcome People Running After Their Lives And They Have Forgotten How They Were Helped By Others When They Were In Trouble Many Years Back! ,">Netanyahu has offered Orban rare support, despite accusations of anti-Semitism, while the US and EU have sought to isolate the right-wing anti-immigration leader."
>Azubuike Zubbes Ofodumogu,>Don't Even Like Uncle Bibi Of Israel Staying Together With Him!,">Netanyahu has offered Orban rare support, despite accusations of anti-Semitism, while the US and EU have sought to isolate the right-wing anti-immigration leader."
>Adele Petty,>He is an idiot,>Trump Putin: US president reverses remark on Russia meddling
>Mirwais Nawaz,>This is not truth the truth is invisible ,>Everyone have a nice day)
>Aisha Amir,>In Islam there is no lie.Islam speaks only truth.,">Putin-Trump summit: Not Munich, Pearl Harbor or Yalta, just Helsinki"
>Adele Petty,>He’s babbling again. lol,">Putin-Trump summit: Not Munich, Pearl Harbor or Yalta, just Helsinki"
>Brandon Forrest Olausen,">First sentence he said... We are all to blame.  So yes, he condemned Russia.",>Putin says he expressed disagreement with Trump’s position on Crimea in Helsinki
>Chetana Sin,>Thanks,">Private helicopter crashes in Khon Kaen, 3 killed"
>Deon Ely Fourie,">Well done. Please shut down the squirrel monkey trade as well, and all the other endangered specie trade.",>Officials seize decorative corals in raids at Chatuchak area 
>Pat Ultima Bongkotpisut,>Yeah let's not take kids into caves anymore...,">The Navy SEALs are known as the toughest warriors of the Thai fighting forces.   But even their most grueling training apparently didn’t prepare them for what they had to encounter at Tham  Luang  cave when they were called upon to save the lives of 12 young footballers and their coach trapped inside. SEAL Commander Rear Adm Arpakorn Yookongkaew admitted in an interview with Thai PBS that while his men were fully committed to the mission, there were moments of uncertainty and doubts plaguing the rescue operation."
>Dakota Lynn Ridder,>Salute and Respect to all of you Sirs.,">The Navy SEALs are known as the toughest warriors of the Thai fighting forces.   But even their most grueling training apparently didn’t prepare them for what they had to encounter at Tham  Luang  cave when they were called upon to save the lives of 12 young footballers and their coach trapped inside. SEAL Commander Rear Adm Arpakorn Yookongkaew admitted in an interview with Thai PBS that while his men were fully committed to the mission, there were moments of uncertainty and doubts plaguing the rescue operation."
>Dakota Lynn Ridder,>Thank you so much. God Bless,>Australian diver admits boys and coach sedated in rescue 
>Chetana Sin,>Thanks,>Best young player 
>Jakkrapat Khiawdee,>Hope he will keep up the good work! He's young and has the room for improvement. He will be the great next-gen!,>Best young player 
>Steven Staniszewski,">It's amazing what a change of scenery can do for someone. I liked ""Dashing"" Cody Rhodes (even ""Undashing"" Cody with the mask), and I like The American Nightmare better than both.",>Best young player 
>Joe Mallard,>We can thank Kevin Owens for connecting him to the right people.,>Best young player 
>Joe Frank,>Everyone likes an underdog or Cinderella story too though.,>Best young player 
>Andrew Machado,>Naito out here letting the chopper spray.,>Best young player 
>Sean Fleming,>Ew. Needs more Naito winning the G1,>DOUBLE KO
>Brian Bertrand,">Kenny goes to win G1, both he and Ibushi having that emotional moment in the ring. Ibushi raises Kenny's hands, then lowers them, then super kicks the FUCK out of him before giving Kenny the Kamigoye in front of thousands of screaming fans.",>DOUBLE KO
>New Japan Pro News Feed - English,">I guess I just don't understand why people are so quick to break up Kenny and Ibushi. My guess is that as long as they stay in Japan, they'll never ever split.",>DOUBLE KO
>Joseph Chaplin,>Not really a fan of this. You'll never elevate the Jr. Division to a headlining level if guys lkle Ospreay are always looking to become heavyweights.,">""I just don't know what's left for me to do in the Junior Heavyweight division. I don't know, honestly, I generally don't know what happens in the future, but like, I can do what Liger has done and try to be like an eleven time champion or like, have the longest reigning defenses. But I'm a motivated guy, I've always wanted to walk center stage in the Tokyo Dome, and in my personal perspective I think I need to go to the Heavyweight division. There's not anyone in that division that can do what I can do, so I would love to test myself against the Heavyweights."
>New Japan Pro News Feed - English,>Will Ospreay is A PERFECT example of a Junior who could/should carry the NEVER Openweight title. It would allow him to compete against Heavyweights while not entirely abandoning the Junior division.,">""I just don't know what's left for me to do in the Junior Heavyweight division. I don't know, honestly, I generally don't know what happens in the future, but like, I can do what Liger has done and try to be like an eleven time champion or like, have the longest reigning defenses. But I'm a motivated guy, I've always wanted to walk center stage in the Tokyo Dome, and in my personal perspective I think I need to go to the Heavyweight division. There's not anyone in that division that can do what I can do, so I would love to test myself against the Heavyweights."
>Jason Ruvolo,">This sounds like something the E would do. NJPW is smarter than this, you keep on giving shine to the JR's division keep him there. Being the modern day Liger would be awesome, a new true king of the JR's. He could go for the ROH World Title if he wants while still continuing to put on amazing JR's matches in NJPW. Possibly go for the NEVER open weight or US title but still stay the man in the JR's",">""I just don't know what's left for me to do in the Junior Heavyweight division. I don't know, honestly, I generally don't know what happens in the future, but like, I can do what Liger has done and try to be like an eleven time champion or like, have the longest reigning defenses. But I'm a motivated guy, I've always wanted to walk center stage in the Tokyo Dome, and in my personal perspective I think I need to go to the Heavyweight division. There's not anyone in that division that can do what I can do, so I would love to test myself against the Heavyweights."
>New Japan Pro News Feed - English,>Happy to have you here Gabriel. What is the name of the promotion there in Chile?,">""I live in the air and on the road. I just flew to Baltimore from Australia where I did a four-day tour. One night I wrestled a junior heavyweight style match with up-comer Robbie Eagles. The next night I did a hardcore Monsters Ball with Abyss and Jimmy Havoc. Night three, I did a big man/small man vs. Brian Cage. Fourth night, I did a comedy match with Joey Ryan."
>Michael Kelly,>Whats that belt Marty is holding?,">""I live in the air and on the road. I just flew to Baltimore from Australia where I did a four-day tour. One night I wrestled a junior heavyweight style match with up-comer Robbie Eagles. The next night I did a hardcore Monsters Ball with Abyss and Jimmy Havoc. Night three, I did a big man/small man vs. Brian Cage. Fourth night, I did a comedy match with Joey Ryan."
>Matty Boh,>Gedo forcing the ibushi/omega match to first happen in the G1 indicates to me there’s no interest in ibushi/omega main eventing the dome THIS YEAR. I think that’s the WK2020 main event.,">I never got around to publishing an official G1 prediction post, but these comments from 10 weeks ago are holding up pretty well."
>New Japan Pro News Feed - English,>My feeling is that Kenny and Ibushi are gonna double KO themselves in the G1 match and that will somehow allow either Ibushi or Kenny to pass through to the Finals. And the unresolved finish will leave fans wanting more.,">I never got around to publishing an official G1 prediction post, but these comments from 10 weeks ago are holding up pretty well."
>Chevaz Alapa'i Caldeira,>What if Barnett causes White to lose the G1...,">I never got around to publishing an official G1 prediction post, but these comments from 10 weeks ago are holding up pretty well."
>Joseph Chaplin,>Not good to do a dirty finish in what is traditionally the most prestigious main event of the year.,">I never got around to publishing an official G1 prediction post, but these comments from 10 weeks ago are holding up pretty well."
>Jimmy Warner,>That belt is in baaaaaaad shape!,">I never got around to publishing an official G1 prediction post, but these comments from 10 weeks ago are holding up pretty well."
>Joseph Chaplin,">Been hyped for this one since the block announcements. This will likely be an absolute scorcher of a match. I'd love, if they were planning to finally go with Goto as thee heavyweight champion, for him to dethrone Kenny sometime next year.",">I never got around to publishing an official G1 prediction post, but these comments from 10 weeks ago are holding up pretty well."
